self-learning capability?,Extra-courses did,Taken inputs from seniors or elders,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role,Technical Score,Communication Score,Learning Score,Professional Score,Leadership Score,Personality Score,Career Readiness,Book_Category,Certification_Category,Workshop_Category,Subject_Category,Career_Area,Company_Category
1,0,0,0,1,1,0,3,11,4,1,16,2,5,5.9,1,0,3,4,3,0
0,1,1,1,0,0,1,3,17,8,2,27,1,8,9.350000000000001,2,3,3,3,3,1
0,1,1,1,1,0,0,3,14,5,2,21,1,6,7.400000000000001,1,0,3,1,0,3
0,1,1,0,1,1,1,3,11,9,2,22,2,9,7.3500000000000005,5,2,0,0,3,2
1,0,0,1,0,1,0,3,5,9,1,15,2,10,4.75,3,4,2,4,3,0
1,1,0,0,0,0,1,3,15,11,2,28,1,11,9.3,2,4,1,1,1,1
1,1,0,1,1,0,1,3,19,6,2,27,1,6,9.650000000000002,1,2,3,1,3,1
0,0,0,1,1,0,0,3,15,4,0,19,1,5,7.15,5,2,0,1,3,0
1,1,1,1,1,1,1,3,3,10,3,16,2,10,4.6000000000000005,6,3,2,4,0,1
0,1,0,0,0,1,1,3,15,6,1,22,2,6,8.0,0,2,1,0,3,1
0,1,1,0,0,0,0,3,14,12,2,28,1,13,9.150000000000002,2,3,1,2,3,4
1,0,0,0,1,1,0,3,18,10,1,29,2,11,10.2,5,0,2,1,0,0
0,1,0,0,1,1,0,3,14,10,1,25,2,11,8.600000000000001,4,1,0,0,0,0
1,1,0,0,1,0,0,3,17,8,2,27,1,9,9.350000000000001,6,3,1,4,1,0
0,1,0,0,0,1,0,3,4,8,1,13,2,9,4.1000000000000005,0,1,1,4,2,3
1,0,1,0,0,1,1,3,3,6,2,11,2,6,3.4,1,4,0,4,3,2
1,0,0,1,0,1,1,3,10,6,1,17,2,6,6.0,3,2,0,0,3,1
0,1,1,0,0,0,1,3,11,15,2,28,1,15,8.700000000000001,5,0,2,0,3,2
0,0,0,1,1,0,1,3,10,11,0,21,1,11,6.9,3,0,0,1,2,3
